National Team,Group,Manager,Manager Nationality,Manager Appointed,Matches Since Jan 2024,Wins,Draws,Losses,Win %,Loss %,Avg Goals Scored Per Game,Avg Goals Conceded Per Game,Confederation,Notes
Argentina,J,Lionel Scaloni,Argentine,Sep 2018,22,17,3,2,77.3%,9.1%,2.8,0.7,CONMEBOL,Won Copa America 2024; unbeaten in 42 games before Mar 2026 defeat to Brazil
Brazil,C,Carlo Ancelotti,Italian,Jun 2024,18,11,3,4,61.1%,22.2%,2.1,1.3,CONMEBOL,Appointed Jun 2024; first international role; 3 wins in 3 WC2026 group-stage friendlies (100%)
France,I,Didier Deschamps,French,Jul 2012,20,13,4,3,65.0%,15.0%,1.9,0.9,UEFA,Euro 2024 semi-finalist; started WC2026 with 3-1 win vs Senegal; leaving after 2026 WC
Spain,H,Luis de la Fuente,Spanish,Dec 2022,22,17,2,3,77.3%,13.6%,2.3,0.6,UEFA,Won Euro 2024 (7/7 games); first team ever to win all 7 Euro matches
England,L,Thomas Tuchel,German,Jan 2025,15,12,1,2,80.0%,13.3%,2.7,0.2,UEFA,Appointed Jan 2025; 8W/8 in WC qualification; zero goals conceded in qualifying; record 10 consecutive clean sheets
Germany,E,Julian Nagelsmann,German,Sep 2023,20,14,2,4,70.0%,20.0%,2.4,1.1,UEFA,Euro 2024 QF exit vs Spain; strong WC qualifier form; 19W in first 31 games in charge
Netherlands,F,Ronald Koeman,Dutch,Jan 2023,21,13,3,5,61.9%,23.8%,2.0,1.2,UEFA,Euro 2024 finalists (lost to England); solid qualifying campaign
Portugal,K,Roberto Martinez,Belgian,Jan 2023,22,15,4,3,68.2%,13.6%,2.6,0.9,UEFA,Strong qualification; relies heavily on Ronaldo and Fernandes
Belgium,G,Rudi Garcia,French,May 2024,16,9,3,4,56.3%,25.0%,1.7,1.3,UEFA,Appointed May 2024; rebuilt Belgium's 'Golden Generation' era successor
Croatia,F,Zlatko Dalic,Croatian,Oct 2017,20,12,4,4,60.0%,20.0%,1.6,1.0,UEFA,Only 1 defeat in 21 WC qualifying matches; back-to-back WC semi-finals (2018 & 2022)
Austria,J,Ralf Rangnick,German,Jun 2022,21,14,3,4,66.7%,19.0%,2.1,1.1,UEFA,Nations League group runner-up; impressed in Euro 2024 RO16
Switzerland,B,Murat Yakin,Swiss,Aug 2021,20,11,4,5,55.0%,25.0%,1.8,1.3,UEFA,Strong defensive record; Euro 2024 quarter-finalist
Scotland,C,Steve Clarke,Scottish,May 2019,18,10,3,5,55.6%,27.8%,1.6,1.4,UEFA,First WC qualification since 1998; secured spot in dominant qualifying campaign
Norway,I,Stale Solbakken,Norwegian,Oct 2021,22,15,3,4,68.2%,18.2%,2.5,1.2,UEFA,Won qualifying group with 8/8; Erling Haaland central to attack
Sweden,F,Graham Potter,English,Nov 2024,14,8,3,3,57.1%,21.4%,1.8,1.1,UEFA,Appointed Nov 2024; qualified via UEFA Playoff B; Potter's first international role
Turkey,D,Vincenzo Montella,Italian,Aug 2023,20,11,4,5,55.0%,25.0%,1.7,1.2,UEFA,Qualified via UEFA Playoff C; strong physical defensive style
Bosnia & Herzegovina,B,Sergej Barbarez,Bosnian,Mar 2024,16,9,3,4,56.3%,25.0%,1.6,1.1,UEFA,Qualified via UEFA Playoff A; Barbarez appointed Mar 2024
Czechia (Czech Republic),A,Ivan Hasek,Czech,Feb 2024,16,8,3,5,50.0%,31.3%,1.5,1.4,UEFA,Qualified via UEFA Playoff D; Hasek appointed Feb 2024
Mexico,A,Javier Aguirre,Mexican,Aug 2023,22,13,4,5,59.1%,22.7%,1.8,1.2,CONCACAF,Host nation (automatic qualifier); won Group A opener vs South Africa 2-0
